2016-08-10 17:06:03.617 DEBUG 2284 --- [Thread-1] c.c.defaultconfig.azure.WebUcService     : <<<---------GroupWareData [cmd=65, direct=0, type=0, status=100, caller=, callee=, extension=, responseCode=0, ip=0.0.0.0, port=0, unconditional=, noanswer=, busy=, DnD=0, UserAgent=, InputData=, InputDataType=0, pList=0, plvrKey=0, InputDataResult=0, StartCallSec=0, StartCallUSec=0]
2016-08-10 17:06:03.618 DEBUG 2284 --- [Thread-1] c.c.defaultconfig.azure.WebUcService     : <<<---------GroupWareData [cmd=102, direct=10, type=12, status=110, caller=, callee=, extension=101, responseCode=0, ip=0.0.0.0, port=0, unconditional=, noanswer=, busy=, DnD=0, UserAgent=, InputData=, InputDataType=0, pList=0, plvrKey=0, InputDataResult=0, StartCallSec=0, StartCallUSec=0]
2016-08-10 17:06:03.619 DEBUG 2284 --- [Thread-1] c.c.defaultconfig.azure.WebUcService     : <<<---------GroupWareData [cmd=102, direct=10, type=12, status=110, caller=, callee=, extension=102, responseCode=0, ip=0.0.0.0, port=0, unconditional=, noanswer=, busy=, DnD=0, UserAgent=, InputData=, InputDataType=0, pList=0, plvrKey=0, InputDataResult=0, StartCallSec=0, StartCallUSec=0]
2016-08-10 17:06:03.619 DEBUG 2284 --- [Thread-1] c.c.defaultconfig.azure.WebUcService     : <<<---------GroupWareData [cmd=102, direct=10, type=12, status=110, caller=, callee=, extension=103, responseCode=0, ip=0.0.0.0, port=0, unconditional=, noanswer=, busy=, DnD=0, UserAgent=, InputData=, InputDataType=0, pList=0, plvrKey=0, InputDataResult=0, StartCallSec=0, StartCallUSec=0]
2016-08-10 17:06:03.619 DEBUG 2284 --- [Thread-1] c.c.defaultconfig.azure.WebUcService     : <<<---------GroupWareData [cmd=102, direct=10, type=12, status=110, caller=, callee=, extension=104, responseCode=0, ip=0.0.0.0, port=0, unconditional=, noanswer=, busy=, DnD=0, UserAgent=, InputData=, InputDataType=0, pList=0, plvrKey=0, InputDataResult=0, StartCallSec=0, StartCallUSec=0]
2016-08-10 17:06:03.619 DEBUG 2284 --- [Thread-1] c.c.defaultconfig.azure.WebUcService     : <<<---------GroupWareData [cmd=102, direct=10, type=12, status=110, caller=, callee=, extension=105, responseCode=0, ip=0.0.0.0, port=0, unconditional=, noanswer=, busy=, DnD=0, UserAgent=, InputData=, InputDataType=0, pList=0, plvrKey=0, InputDataResult=0, StartCallSec=0, StartCallUSec=0]
2016-08-10 17:06:03.619 DEBUG 2284 --- [Thread-1] c.c.defaultconfig.azure.WebUcService     : <<<---------GroupWareData [cmd=102, direct=10, type=12, status=110, caller=, callee=, extension=106, responseCode=0, ip=0.0.0.0, port=0, unconditional=, noanswer=, busy=, DnD=0, UserAgent=, InputData=, InputDataType=0, pList=0, plvrKey=0, InputDataResult=0, StartCallSec=0, StartCallUSec=0]
2016-08-10 17:06:03.619 DEBUG 2284 --- [Thread-1] c.c.defaultconfig.azure.WebUcService     : <<<---------GroupWareData [cmd=102, direct=10, type=12, status=110, caller=, callee=, extension=107, responseCode=0, ip=0.0.0.0, port=0, unconditional=, noanswer=, busy=, DnD=0, UserAgent=, InputData=, InputDataType=0, pList=0, plvrKey=0, InputDataResult=0, StartCallSec=0, StartCallUSec=0]
2016-08-10 17:06:03.619 DEBUG 2284 --- [Thread-1] c.c.defaultconfig.azure.WebUcService     : <<<---------GroupWareData [cmd=102, direct=10, type=12, status=110, caller=, callee=, extension=108, responseCode=0, ip=0.0.0.0, port=0, unconditional=, noanswer=, busy=, DnD=0, UserAgent=, InputData=, InputDataType=0, pList=0, plvrKey=0, InputDataResult=0, StartCallSec=0, StartCallUSec=0]
2016-08-10 17:06:03.620 DEBUG 2284 --- [Thread-1] c.c.defaultconfig.azure.WebUcService     : <<<---------GroupWareData [cmd=102, direct=10, type=12, status=110, caller=, callee=, extension=109, responseCode=0, ip=0.0.0.0, port=0, unconditional=, noanswer=, busy=, DnD=0, UserAgent=, InputData=, InputDataType=0, pList=0, plvrKey=0, InputDataResult=0, StartCallSec=0, StartCallUSec=0]
